Total Nacional;Comunidades y Ciudades Autónomas;Tipo de edificación;Tipo de dato;Periodo;Total
Total Nacional;;Total;Índice;2022;115,684
Total Nacional;;Total;Índice;2021;112,694
Total Nacional;;Total;Índice;2020;110,942
Total Nacional;;Total;Índice;2019;109,999
Total Nacional;;Total;Índice;2018;106,247
Total Nacional;;Total;Índice;2017;103,528
Total Nacional;;Total;Índice;2016;101,681
Total Nacional;;Total;Índice;2015;100
Total Nacional;;Total;Índice;2014;99,741
Total Nacional;;Total;Índice;2013;100,493
Total Nacional;;Total;Índice;2012;103,193
Total Nacional;;Total;Índice;2011;104,761
Total Nacional;;Total;Variación anual;2022;2,7
Total Nacional;;Total;Variación anual;2021;1,6
Total Nacional;;Total;Variación anual;2020;0,9
Total Nacional;;Total;Variación anual;2019;3,5
Total Nacional;;Total;Variación anual;2018;2,6
Total Nacional;;Total;Variación anual;2017;1,8
Total Nacional;;Total;Variación anual;2016;1,7
Total Nacional;;Total;Variación anual;2015;0,3
Total Nacional;;Total;Variación anual;2014;-0,7
Total Nacional;;Total;Variación anual;2013;-2,6
Total Nacional;;Total;Variación anual;2012;-1,5
Total Nacional;;Total;Variación anual;2011;..
Total Nacional;;Vivienda unifamiliar;Índice;2022;112,215
Total Nacional;;Vivienda unifamiliar;Índice;2021;109,513
Total Nacional;;Vivienda unifamiliar;Índice;2020;107,422
Total Nacional;;Vivienda unifamiliar;Índice;2019;106,79
Total Nacional;;Vivienda unifamiliar;Índice;2018;105,205
Total Nacional;;Vivienda unifamiliar;Índice;2017;103,327
Total Nacional;;Vivienda unifamiliar;Índice;2016;101,744
Total Nacional;;Vivienda unifamiliar;Índice;2015;100
Total Nacional;;Vivienda unifamiliar;Índice;2014;99,367
Total Nacional;;Vivienda unifamiliar;Índice;2013;99,347
Total Nacional;;Vivienda unifamiliar;Índice;2012;101,106
Total Nacional;;Vivienda unifamiliar;Índice;2011;102,42
Total Nacional;;Vivienda unifamiliar;Variación anual;2022;2,5
Total Nacional;;Vivienda unifamiliar;Variación anual;2021;1,9
Total Nacional;;Vivienda unifamiliar;Variación anual;2020;0,6
Total Nacional;;Vivienda unifamiliar;Variación anual;2019;1,5
Total Nacional;;Vivienda unifamiliar;Variación anual;2018;1,8
Total Nacional;;Vivienda unifamiliar;Variación anual;2017;1,6
Total Nacional;;Vivienda unifamiliar;Variación anual;2016;1,7
Total Nacional;;Vivienda unifamiliar;Variación anual;2015;0,6
Total Nacional;;Vivienda unifamiliar;Variación anual;2014;0
Total Nacional;;Vivienda unifamiliar;Variación anual;2013;-1,7
Total Nacional;;Vivienda unifamiliar;Variación anual;2012;-1,3
Total Nacional;;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;;Vivienda colectiva;Índice;2022;116,115
Total Nacional;;Vivienda colectiva;Índice;2021;113,088
Total Nacional;;Vivienda colectiva;Índice;2020;111,382
Total Nacional;;Vivienda colectiva;Índice;2019;110,4
Total Nacional;;Vivienda colectiva;Índice;2018;106,378
Total Nacional;;Vivienda colectiva;Índice;2017;103,553
Total Nacional;;Vivienda colectiva;Índice;2016;101,673
Total Nacional;;Vivienda colectiva;Índice;2015;100
Total Nacional;;Vivienda colectiva;Índice;2014;99,786
Total Nacional;;Vivienda colectiva;Índice;2013;100,629
Total Nacional;;Vivienda colectiva;Índice;2012;103,434
Total Nacional;;Vivienda colectiva;Índice;2011;105,029
Total Nacional;;Vivienda colectiva;Variación anual;2022;2,7
Total Nacional;;Vivienda colectiva;Variación anual;2021;1,5
Total Nacional;;Vivienda colectiva;Variación anual;2020;0,9
Total Nacional;;Vivienda colectiva;Variación anual;2019;3,8
Total Nacional;;Vivienda colectiva;Variación anual;2018;2,7
Total Nacional;;Vivienda colectiva;Variación anual;2017;1,8
Total Nacional;;Vivienda colectiva;Variación anual;2016;1,7
Total Nacional;;Vivienda colectiva;Variación anual;2015;0,2
Total Nacional;;Vivienda colectiva;Variación anual;2014;-0,8
Total Nacional;;Vivienda colectiva;Variación anual;2013;-2,7
Total Nacional;;Vivienda colectiva;Variación anual;2012;-1,5
Total Nacional;;Vivienda colectiva;Variación anual;2011;..
Total Nacional;01 Andalucía;Total;Índice;2022;115,57
Total Nacional;01 Andalucía;Total;Índice;2021;112,471
Total Nacional;01 Andalucía;Total;Índice;2020;110,374
Total Nacional;01 Andalucía;Total;Índice;2019;109,594
Total Nacional;01 Andalucía;Total;Índice;2018;105,957
Total Nacional;01 Andalucía;Total;Índice;2017;103,593
Total Nacional;01 Andalucía;Total;Índice;2016;101,957
Total Nacional;01 Andalucía;Total;Índice;2015;100
Total Nacional;01 Andalucía;Total;Índice;2014;100,084
Total Nacional;01 Andalucía;Total;Índice;2013;100,689
Total Nacional;01 Andalucía;Total;Índice;2012;103,353
Total Nacional;01 Andalucía;Total;Índice;2011;104,88
Total Nacional;01 Andalucía;Total;Variación anual;2022;2,8
Total Nacional;01 Andalucía;Total;Variación anual;2021;1,9
Total Nacional;01 Andalucía;Total;Variación anual;2020;0,7
Total Nacional;01 Andalucía;Total;Variación anual;2019;3,4
Total Nacional;01 Andalucía;Total;Variación anual;2018;2,3
Total Nacional;01 Andalucía;Total;Variación anual;2017;1,6
Total Nacional;01 Andalucía;Total;Variación anual;2016;2
Total Nacional;01 Andalucía;Total;Variación anual;2015;-0,1
Total Nacional;01 Andalucía;Total;Variación anual;2014;-0,6
Total Nacional;01 Andalucía;Total;Variación anual;2013;-2,6
Total Nacional;01 Andalucía;Total;Variación anual;2012;-1,5
Total Nacional;01 Andalucía;Total;Variación anual;2011;..
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2022;111,909
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2021;109,562
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2020;107,625
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2019;107,1
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2018;105,322
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2017;103,524
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2016;102,102
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2015;100
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2014;99,695
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2013;99,482
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2012;102,056
Total Nacional;01 Andalucía;Vivienda unifamiliar;Índice;2011;103,491
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2022;2,1
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2021;1,8
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2020;0,5
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2019;1,7
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2018;1,7
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2017;1,4
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2016;2,1
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2015;0,3
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2014;0,2
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2013;-2,5
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2012;-1,4
Total Nacional;01 Andalucía;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2022;116,336
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2021;113,079
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2020;110,948
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2019;110,115
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2018;106,09
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2017;103,608
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2016;101,928
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2015;100
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2014;100,16
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2013;100,916
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2012;103,596
Total Nacional;01 Andalucía;Vivienda colectiva;Índice;2011;105,138
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2022;2,9
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2021;1,9
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2020;0,8
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2019;3,8
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2018;2,4
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2017;1,6
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2016;1,9
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2015;-0,2
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2014;-0,7
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2013;-2,6
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2012;-1,5
Total Nacional;01 Andalucía;Vivienda colectiva;Variación anual;2011;..
Total Nacional;02 Aragón;Total;Índice;2022;113,566
Total Nacional;02 Aragón;Total;Índice;2021;110,742
Total Nacional;02 Aragón;Total;Índice;2020;108,538
Total Nacional;02 Aragón;Total;Índice;2019;107,388
Total Nacional;02 Aragón;Total;Índice;2018;104,198
Total Nacional;02 Aragón;Total;Índice;2017;102,2
Total Nacional;02 Aragón;Total;Índice;2016;101,027
Total Nacional;02 Aragón;Total;Índice;2015;100
Total Nacional;02 Aragón;Total;Índice;2014;100,47
Total Nacional;02 Aragón;Total;Índice;2013;102,008
Total Nacional;02 Aragón;Total;Índice;2012;105,477
Total Nacional;02 Aragón;Total;Índice;2011;107,8
Total Nacional;02 Aragón;Total;Variación anual;2022;2,5
Total Nacional;02 Aragón;Total;Variación anual;2021;2
Total Nacional;02 Aragón;Total;Variación anual;2020;1,1
Total Nacional;02 Aragón;Total;Variación anual;2019;3,1
Total Nacional;02 Aragón;Total;Variación anual;2018;2
Total Nacional;02 Aragón;Total;Variación anual;2017;1,2
Total Nacional;02 Aragón;Total;Variación anual;2016;1
Total Nacional;02 Aragón;Total;Variación anual;2015;-0,5
Total Nacional;02 Aragón;Total;Variación anual;2014;-1,5
Total Nacional;02 Aragón;Total;Variación anual;2013;-3,3
Total Nacional;02 Aragón;Total;Variación anual;2012;-2,2
Total Nacional;02 Aragón;Total;Variación anual;2011;..
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2022;109,684
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2021;107,514
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2020;105,83
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2019;104,997
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2018;103,251
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2017;101,718
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2016;100,892
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2015;100
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2014;100,706
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2013;101,663
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2012;103,65
Total Nacional;02 Aragón;Vivienda unifamiliar;Índice;2011;106,037
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2022;2
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2021;1,6
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2020;0,8
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2019;1,7
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2018;1,5
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2017;0,8
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2016;0,9
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2015;-0,7
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2014;-0,9
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2013;-1,9
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2012;-2,3
Total Nacional;02 Aragón;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2022;113,861
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2021;110,984
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2020;108,736
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2019;107,562
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2018;104,265
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2017;102,234
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2016;101,036
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2015;100
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2014;100,454
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2013;102,03
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2012;105,59
Total Nacional;02 Aragón;Vivienda colectiva;Índice;2011;107,909
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2022;2,6
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2021;2,1
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2020;1,1
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2019;3,2
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2018;2
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2017;1,2
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2016;1
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2015;-0,5
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2014;-1,5
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2013;-3,4
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2012;-2,1
Total Nacional;02 Aragón;Vivienda colectiva;Variación anual;2011;..
Total Nacional;03 Asturias, Principado de;Total;Índice;2022;109,909
Total Nacional;03 Asturias, Principado de;Total;Índice;2021;107,998
Total Nacional;03 Asturias, Principado de;Total;Índice;2020;106,446
Total Nacional;03 Asturias, Principado de;Total;Índice;2019;105,52
Total Nacional;03 Asturias, Principado de;Total;Índice;2018;103,399
Total Nacional;03 Asturias, Principado de;Total;Índice;2017;102,187
Total Nacional;03 Asturias, Principado de;Total;Índice;2016;101,202
Total Nacional;03 Asturias, Principado de;Total;Índice;2015;100
Total Nacional;03 Asturias, Principado de;Total;Índice;2014;100,339
Total Nacional;03 Asturias, Principado de;Total;Índice;2013;100,732
Total Nacional;03 Asturias, Principado de;Total;Índice;2012;102,74
Total Nacional;03 Asturias, Principado de;Total;Índice;2011;103,079
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2022;1,8
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2021;1,5
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2020;0,9
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2019;2,1
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2018;1,2
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2017;1
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2016;1,2
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2015;-0,3
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2014;-0,4
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2013;-2
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2012;-0,3
Total Nacional;03 Asturias, Principado de;Total;Variación anual;2011;..
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2022;108,988
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2021;107,262
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2020;105,596
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2019;104,093
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2018;103,093
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2017;102,115
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2016;101,369
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2015;100
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2014;99,848
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2013;99,376
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2012;100,084
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Índice;2011;100,673
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2022;1,6
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2021;1,6
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2020;1,4
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2019;1
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2018;1
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2017;0,7
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2016;1,4
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2015;0,2
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2014;0,5
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2013;-0,7
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2012;-0,6
Total Nacional;03 Asturias, Principado de;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2022;109,972
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2021;108,048
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2020;106,504
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2019;105,617
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2018;103,421
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2017;102,193
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2016;101,191
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2015;100
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2014;100,37
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2013;100,815
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2012;102,89
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Índice;2011;103,217
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2022;1,8
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2021;1,4
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2020;0,8
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2019;2,1
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2018;1,2
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2017;1
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2016;1,2
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2015;-0,4
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2014;-0,4
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2013;-2
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2012;-0,3
Total Nacional;03 Asturias, Principado de;Vivienda colectiva;Variación anual;2011;..
Total Nacional;04 Balears, Illes;Total;Índice;2022;120,007
Total Nacional;04 Balears, Illes;Total;Índice;2021;115,745
Total Nacional;04 Balears, Illes;Total;Índice;2020;113,259
Total Nacional;04 Balears, Illes;Total;Índice;2019;113,469
Total Nacional;04 Balears, Illes;Total;Índice;2018;109,221
Total Nacional;04 Balears, Illes;Total;Índice;2017;105,011
Total Nacional;04 Balears, Illes;Total;Índice;2016;102,167
Total Nacional;04 Balears, Illes;Total;Índice;2015;100
Total Nacional;04 Balears, Illes;Total;Índice;2014;98,765
Total Nacional;04 Balears, Illes;Total;Índice;2013;98,206
Total Nacional;04 Balears, Illes;Total;Índice;2012;99,158
Total Nacional;04 Balears, Illes;Total;Índice;2011;100,055
Total Nacional;04 Balears, Illes;Total;Variación anual;2022;3,7
Total Nacional;04 Balears, Illes;Total;Variación anual;2021;2,2
Total Nacional;04 Balears, Illes;Total;Variación anual;2020;-0,2
Total Nacional;04 Balears, Illes;Total;Variación anual;2019;3,9
Total Nacional;04 Balears, Illes;Total;Variación anual;2018;4
Total Nacional;04 Balears, Illes;Total;Variación anual;2017;2,8
Total Nacional;04 Balears, Illes;Total;Variación anual;2016;2,2
Total Nacional;04 Balears, Illes;Total;Variación anual;2015;1,3
Total Nacional;04 Balears, Illes;Total;Variación anual;2014;0,6
Total Nacional;04 Balears, Illes;Total;Variación anual;2013;-1
Total Nacional;04 Balears, Illes;Total;Variación anual;2012;-0,9
Total Nacional;04 Balears, Illes;Total;Variación anual;2011;..
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2022;116,144
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2021;112,338
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2020;109,452
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2019;109,533
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2018;107,725
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2017;104,642
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2016;102,192
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2015;100
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2014;98,474
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2013;97,82
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2012;98,263
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Índice;2011;98,718
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Variación anual;2022;3,4
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Variación anual;2021;2,6
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Variación anual;2020;-0,1
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Variación anual;2019;1,7
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Variación anual;2018;2,9
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Variación anual;2017;2,4
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Variación anual;2016;2,2
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Variación anual;2015;1,5
Total Nacional;04 Balears, Illes;Vivienda unifamiliar;Variación anual;2014;0,7
