Total Nacional;Comunidades y Ciudades Autónomas;Tipo de edificación;Tipo de dato;Periodo;Total
Total Nacional;09 Cataluña;Total;Índice;2022;116,791
Total Nacional;09 Cataluña;Total;Índice;2021;113,876
Total Nacional;09 Cataluña;Total;Índice;2020;112,364
Total Nacional;09 Cataluña;Total;Índice;2019;111,172
Total Nacional;09 Cataluña;Total;Índice;2018;107,312
Total Nacional;09 Cataluña;Total;Índice;2017;103,913
Total Nacional;09 Cataluña;Total;Índice;2016;101,712
Total Nacional;09 Cataluña;Total;Índice;2015;100
Total Nacional;09 Cataluña;Total;Índice;2014;99,46
Total Nacional;09 Cataluña;Total;Índice;2013;100,193
Total Nacional;09 Cataluña;Total;Índice;2012;102,865
Total Nacional;09 Cataluña;Total;Índice;2011;104,675
Total Nacional;09 Cataluña;Total;Variación anual;2022;2,6
Total Nacional;09 Cataluña;Total;Variación anual;2021;1,3
Total Nacional;09 Cataluña;Total;Variación anual;2020;1,1
Total Nacional;09 Cataluña;Total;Variación anual;2019;3,6
Total Nacional;09 Cataluña;Total;Variación anual;2018;3,3
Total Nacional;09 Cataluña;Total;Variación anual;2017;2,2
Total Nacional;09 Cataluña;Total;Variación anual;2016;1,7
Total Nacional;09 Cataluña;Total;Variación anual;2015;0,5
Total Nacional;09 Cataluña;Total;Variación anual;2014;-0,7
Total Nacional;09 Cataluña;Total;Variación anual;2013;-2,6
Total Nacional;09 Cataluña;Total;Variación anual;2012;-1,7
Total Nacional;09 Cataluña;Total;Variación anual;2011;..
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2022;111,887
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2021;109,219
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2020;107,1
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2019;106,16
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2018;105,097
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2017;103,177
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2016;101,75
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2015;100
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2014;99,057
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2013;98,804
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2012;100,102
Total Nacional;09 Cataluña;Vivienda unifamiliar;Índice;2011;101,362
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2022;2,4
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2021;2
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2020;0,9
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2019;1
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2018;1,9
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2017;1,4
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2016;1,7
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2015;1
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2014;0,3
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2013;-1,3
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2012;-1,2
Total Nacional;09 Cataluña;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2022;117,408
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2021;114,461
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2020;113,028
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2019;111,805
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2018;107,596
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2017;104,01
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2016;101,708
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2015;100
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2014;99,511
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2013;100,366
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2012;103,202
Total Nacional;09 Cataluña;Vivienda colectiva;Índice;2011;105,076
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2022;2,6
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2021;1,3
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2020;1,1
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2019;3,9
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2018;3,4
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2017;2,3
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2016;1,7
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2015;0,5
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2014;-0,9
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2013;-2,7
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2012;-1,8
Total Nacional;09 Cataluña;Vivienda colectiva;Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;Total;Índice;2022;118,716
Total Nacional;10 Comunitat Valenciana;Total;Índice;2021;114,679
Total Nacional;10 Comunitat Valenciana;Total;Índice;2020;111,732
Total Nacional;10 Comunitat Valenciana;Total;Índice;2019;110,086
Total Nacional;10 Comunitat Valenciana;Total;Índice;2018;105,974
Total Nacional;10 Comunitat Valenciana;Total;Índice;2017;103,417
Total Nacional;10 Comunitat Valenciana;Total;Índice;2016;101,675
Total Nacional;10 Comunitat Valenciana;Total;Índice;2015;100
Total Nacional;10 Comunitat Valenciana;Total;Índice;2014;99,841
Total Nacional;10 Comunitat Valenciana;Total;Índice;2013;100,927
Total Nacional;10 Comunitat Valenciana;Total;Índice;2012;103,898
Total Nacional;10 Comunitat Valenciana;Total;Índice;2011;106,151
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2022;3,5
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2021;2,6
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2020;1,5
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2019;3,9
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2018;2,5
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2017;1,7
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2016;1,7
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2015;0,2
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2014;-1,1
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2013;-2,9
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2012;-2,1
Total Nacional;10 Comunitat Valenciana;Total;Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2022;113,46
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2021;110,448
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2020;107,797
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2019;106,627
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2018;104,639
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2017;102,609
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2016;101,502
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2015;100
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2014;99,237
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2013;99,539
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2012;101,073
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Índice;2011;102,544
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2022;2,7
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2021;2,5
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2020;1,1
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2019;1,9
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2018;2
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2017;1,1
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2016;1,5
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2015;0,8
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2014;-0,3
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2013;-1,5
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2012;-1,4
Total Nacional;10 Comunitat Valenciana;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2022;119,46
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2021;115,276
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2020;112,286
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2019;110,573
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2018;106,16
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2017;103,529
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2016;101,699
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2015;100
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2014;99,921
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2013;101,106
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2012;104,242
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Índice;2011;106,579
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2022;3,6
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2021;2,7
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2020;1,5
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2019;4,2
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2018;2,5
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2017;1,8
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2016;1,7
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2015;0,1
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2014;-1,2
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2013;-3
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2012;-2,2
Total Nacional;10 Comunitat Valenciana;Vivienda colectiva;Variación anual;2011;..
Total Nacional;11 Extremadura;Total;Índice;2022;111,716
Total Nacional;11 Extremadura;Total;Índice;2021;109,235
Total Nacional;11 Extremadura;Total;Índice;2020;107,38
Total Nacional;11 Extremadura;Total;Índice;2019;106,391
Total Nacional;11 Extremadura;Total;Índice;2018;103,902
Total Nacional;11 Extremadura;Total;Índice;2017;102,577
Total Nacional;11 Extremadura;Total;Índice;2016;101,526
Total Nacional;11 Extremadura;Total;Índice;2015;100
Total Nacional;11 Extremadura;Total;Índice;2014;100,449
Total Nacional;11 Extremadura;Total;Índice;2013;101,223
Total Nacional;11 Extremadura;Total;Índice;2012;103,298
Total Nacional;11 Extremadura;Total;Índice;2011;104,267
Total Nacional;11 Extremadura;Total;Variación anual;2022;2,3
Total Nacional;11 Extremadura;Total;Variación anual;2021;1,7
Total Nacional;11 Extremadura;Total;Variación anual;2020;0,9
Total Nacional;11 Extremadura;Total;Variación anual;2019;2,4
Total Nacional;11 Extremadura;Total;Variación anual;2018;1,3
Total Nacional;11 Extremadura;Total;Variación anual;2017;1
Total Nacional;11 Extremadura;Total;Variación anual;2016;1,5
Total Nacional;11 Extremadura;Total;Variación anual;2015;-0,4
Total Nacional;11 Extremadura;Total;Variación anual;2014;-0,8
Total Nacional;11 Extremadura;Total;Variación anual;2013;-2
Total Nacional;11 Extremadura;Total;Variación anual;2012;-0,9
Total Nacional;11 Extremadura;Total;Variación anual;2011;..
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2022;108,796
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2021;107,03
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2020;105,93
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2019;104,927
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2018;103,237
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2017;102,388
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2016;101,107
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2015;100
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2014;99,286
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2013;100,026
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2012;101,624
Total Nacional;11 Extremadura;Vivienda unifamiliar;Índice;2011;102,035
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2022;1,7
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2021;1
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2020;1
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2019;1,6
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2018;0,8
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2017;1,3
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2016;1,1
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2015;0,7
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2014;-0,7
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2013;-1,6
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2012;-0,4
Total Nacional;11 Extremadura;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2022;112,208
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2021;109,6
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2020;107,611
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2019;106,623
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2018;104,008
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2017;102,606
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2016;101,592
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2015;100
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2014;100,627
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2013;101,406
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2012;103,546
Total Nacional;11 Extremadura;Vivienda colectiva;Índice;2011;104,59
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2022;2,4
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2021;1,8
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2020;0,9
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2019;2,5
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2018;1,4
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2017;1
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2016;1,6
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2015;-0,6
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2014;-0,8
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2013;-2,1
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2012;-1
Total Nacional;11 Extremadura;Vivienda colectiva;Variación anual;2011;..
Total Nacional;12 Galicia;Total;Índice;2022;111,654
Total Nacional;12 Galicia;Total;Índice;2021;108,885
Total Nacional;12 Galicia;Total;Índice;2020;106,732
Total Nacional;12 Galicia;Total;Índice;2019;105,496
Total Nacional;12 Galicia;Total;Índice;2018;102,851
Total Nacional;12 Galicia;Total;Índice;2017;101,691
Total Nacional;12 Galicia;Total;Índice;2016;100,787
Total Nacional;12 Galicia;Total;Índice;2015;100
Total Nacional;12 Galicia;Total;Índice;2014;100,273
Total Nacional;12 Galicia;Total;Índice;2013;100,93
Total Nacional;12 Galicia;Total;Índice;2012;102,671
Total Nacional;12 Galicia;Total;Índice;2011;103,198
Total Nacional;12 Galicia;Total;Variación anual;2022;2,5
Total Nacional;12 Galicia;Total;Variación anual;2021;2
Total Nacional;12 Galicia;Total;Variación anual;2020;1,2
Total Nacional;12 Galicia;Total;Variación anual;2019;2,6
Total Nacional;12 Galicia;Total;Variación anual;2018;1,1
Total Nacional;12 Galicia;Total;Variación anual;2017;0,9
Total Nacional;12 Galicia;Total;Variación anual;2016;0,8
Total Nacional;12 Galicia;Total;Variación anual;2015;-0,3
Total Nacional;12 Galicia;Total;Variación anual;2014;-0,7
Total Nacional;12 Galicia;Total;Variación anual;2013;-1,7
Total Nacional;12 Galicia;Total;Variación anual;2012;-0,5
Total Nacional;12 Galicia;Total;Variación anual;2011;..
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2022;108,545
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2021;106,186
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2020;104,349
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2019;103,507
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2018;102,782
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2017;102,269
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2016;101,175
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2015;100
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2014;99,196
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2013;99,317
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2012;100,356
Total Nacional;12 Galicia;Vivienda unifamiliar;Índice;2011;100,925
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2022;2,2
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2021;1,8
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2020;0,8
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2019;0,7
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2018;0,5
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2017;1,1
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2016;1,2
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2015;0,8
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2014;-0,1
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2013;-1
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2012;-0,6
Total Nacional;12 Galicia;Vivienda unifamiliar;Variación anual;2011;..
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2022;111,938
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2021;109,127
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2020;106,943
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2019;105,671
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2018;102,859
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2017;101,644
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2016;100,755
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2015;100
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2014;100,358
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2013;101,055
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2012;102,846
Total Nacional;12 Galicia;Vivienda colectiva;Índice;2011;103,371
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2022;2,6
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2021;2
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2020;1,2
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2019;2,7
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2018;1,2
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2017;0,9
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2016;0,8
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2015;-0,4
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2014;-0,7
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2013;-1,7
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2012;-0,5
Total Nacional;12 Galicia;Vivienda colectiva;Variación anual;2011;..
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2022;115,294
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2021;112,539
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2020;111,433
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2019;110,717
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2018;106,485
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2017;103,653
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2016;101,755
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2015;100
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2014;99,568
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2013;100,486
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2012;103,681
Total Nacional;13 Madrid, Comunidad de;Total;Índice;2011;105,271
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2022;2,4
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2021;1
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2020;0,6
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2019;4
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2018;2,7
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2017;1,9
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2016;1,8
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2015;0,4
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2014;-0,9
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2013;-3,1
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2012;-1,5
Total Nacional;13 Madrid, Comunidad de;Total;Variación anual;2011;..
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2022;111,966
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2021;109,206
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2020;107,279
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2019;106,716
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2018;104,718
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2017;102,999
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2016;101,305
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2015;100
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2014;99,205
Total Nacional;13 Madrid, Comunidad de;Vivienda unifamiliar;Índice;2013;99,86
