Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2024M02;0,57
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M08;0,51
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2023M02;0,48
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M08;0,45
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2022M02;0,41
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2021M08;0,43
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2021M02;0,38
Total Nacional;08 Castilla - La Mancha;16 Cuenca;2020M08;0,41
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M08;0,42
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2024M02;0,36
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M08;0,32
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2023M02;0,28
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M08;0,28
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2022M02;0,27
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2021M08;0,27
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2021M02;0,25
Total Nacional;08 Castilla - La Mancha;19 Guadalajara;2020M08;0,26
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M08;0,38
Total Nacional;08 Castilla - La Mancha;45 Toledo;2024M02;0,33
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M08;0,29
Total Nacional;08 Castilla - La Mancha;45 Toledo;2023M02;0,29
Total Nacional;08 Castilla - La Mancha;45 Toledo;2022M08;0,28
Total Nacional;08 Castilla - La Mancha;45 Toledo;2022M02;0,25
Total Nacional;08 Castilla - La Mancha;45 Toledo;2021M08;0,25
Total Nacional;08 Castilla - La Mancha;45 Toledo;2021M02;0,26
Total Nacional;08 Castilla - La Mancha;45 Toledo;2020M08;0,28
Total Nacional;09 Cataluña;;2024M08;1,5
Total Nacional;09 Cataluña;;2024M02;1,34
Total Nacional;09 Cataluña;;2023M08;1,33
Total Nacional;09 Cataluña;;2023M02;1,18
Total Nacional;09 Cataluña;;2022M08;1,28
Total Nacional;09 Cataluña;;2022M02;1,28
Total Nacional;09 Cataluña;;2021M08;1,46
Total Nacional;09 Cataluña;;2021M02;1,41
Total Nacional;09 Cataluña;;2020M08;1,64
Total Nacional;09 Cataluña;08 Barcelona;2024M08;0,72
Total Nacional;09 Cataluña;08 Barcelona;2024M02;0,65
Total Nacional;09 Cataluña;08 Barcelona;2023M08;0,57
Total Nacional;09 Cataluña;08 Barcelona;2023M02;0,55
Total Nacional;09 Cataluña;08 Barcelona;2022M08;0,57
Total Nacional;09 Cataluña;08 Barcelona;2022M02;0,73
Total Nacional;09 Cataluña;08 Barcelona;2021M08;0,8
Total Nacional;09 Cataluña;08 Barcelona;2021M02;0,87
Total Nacional;09 Cataluña;08 Barcelona;2020M08;1
Total Nacional;09 Cataluña;17 Girona;2024M08;4,59
Total Nacional;09 Cataluña;17 Girona;2024M02;4,09
Total Nacional;09 Cataluña;17 Girona;2023M08;4,27
Total Nacional;09 Cataluña;17 Girona;2023M02;3,78
Total Nacional;09 Cataluña;17 Girona;2022M08;4,15
Total Nacional;09 Cataluña;17 Girona;2022M02;3,69
Total Nacional;09 Cataluña;17 Girona;2021M08;4,38
Total Nacional;09 Cataluña;17 Girona;2021M02;3,91
Total Nacional;09 Cataluña;17 Girona;2020M08;4,52
Total Nacional;09 Cataluña;25 Lleida;2024M08;1,16
Total Nacional;09 Cataluña;25 Lleida;2024M02;1,11
Total Nacional;09 Cataluña;25 Lleida;2023M08;1,09
Total Nacional;09 Cataluña;25 Lleida;2023M02;1,09
Total Nacional;09 Cataluña;25 Lleida;2022M08;1,05
Total Nacional;09 Cataluña;25 Lleida;2022M02;1,01
Total Nacional;09 Cataluña;25 Lleida;2021M08;1,06
Total Nacional;09 Cataluña;25 Lleida;2021M02;0,97
Total Nacional;09 Cataluña;25 Lleida;2020M08;1
Total Nacional;09 Cataluña;43 Tarragona;2024M08;2,49
Total Nacional;09 Cataluña;43 Tarragona;2024M02;2,22
Total Nacional;09 Cataluña;43 Tarragona;2023M08;2,33
Total Nacional;09 Cataluña;43 Tarragona;2023M02;1,97
Total Nacional;09 Cataluña;43 Tarragona;2022M08;2,2
Total Nacional;09 Cataluña;43 Tarragona;2022M02;1,92
Total Nacional;09 Cataluña;43 Tarragona;2021M08;2,22
Total Nacional;09 Cataluña;43 Tarragona;2021M02;2
Total Nacional;09 Cataluña;43 Tarragona;2020M08;2,41
Total Nacional;10 Comunitat Valenciana;;2024M08;2,17
Total Nacional;10 Comunitat Valenciana;;2024M02;1,81
Total Nacional;10 Comunitat Valenciana;;2023M08;1,78
Total Nacional;10 Comunitat Valenciana;;2023M02;1,59
Total Nacional;10 Comunitat Valenciana;;2022M08;1,64
Total Nacional;10 Comunitat Valenciana;;2022M02;1,51
Total Nacional;10 Comunitat Valenciana;;2021M08;1,62
Total Nacional;10 Comunitat Valenciana;;2021M02;1,58
Total Nacional;10 Comunitat Valenciana;;2020M08;1,74
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2024M08;3,31
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2024M02;2,82
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2023M08;2,81
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2023M02;2,6
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2022M08;2,67
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2022M02;2,51
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2021M08;2,65
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2021M02;2,62
Total Nacional;10 Comunitat Valenciana;03 Alicante/Alacant;2020M08;2,8
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2024M08;1,96
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2024M02;1,53
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2023M08;1,58
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2023M02;1,31
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2022M08;1,45
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2022M02;1,17
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2021M08;1,35
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2021M02;1,13
Total Nacional;10 Comunitat Valenciana;12 Castellón/Castelló;2020M08;1,33
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2024M08;1,2
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2024M02;0,98
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2023M08;0,9
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2023M02;0,78
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2022M08;0,79
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2022M02;0,73
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2021M08;0,8
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2021M02;0,8
Total Nacional;10 Comunitat Valenciana;46 Valencia/València;2020M08;0,92
Total Nacional;11 Extremadura;;2024M08;0,29
Total Nacional;11 Extremadura;;2024M02;0,25
Total Nacional;11 Extremadura;;2023M08;0,23
Total Nacional;11 Extremadura;;2023M02;0,23
Total Nacional;11 Extremadura;;2022M08;0,23
Total Nacional;11 Extremadura;;2022M02;0,2
Total Nacional;11 Extremadura;;2021M08;0,2
Total Nacional;11 Extremadura;;2021M02;0,2
Total Nacional;11 Extremadura;;2020M08;0,21
Total Nacional;11 Extremadura;06 Badajoz;2024M08;0,16
Total Nacional;11 Extremadura;06 Badajoz;2024M02;0,14
Total Nacional;11 Extremadura;06 Badajoz;2023M08;0,12
Total Nacional;11 Extremadura;06 Badajoz;2023M02;0,12
Total Nacional;11 Extremadura;06 Badajoz;2022M08;0,12
Total Nacional;11 Extremadura;06 Badajoz;2022M02;0,09
Total Nacional;11 Extremadura;06 Badajoz;2021M08;0,09
Total Nacional;11 Extremadura;06 Badajoz;2021M02;0,09
Total Nacional;11 Extremadura;06 Badajoz;2020M08;0,1
Total Nacional;11 Extremadura;10 Cáceres;2024M08;0,46
Total Nacional;11 Extremadura;10 Cáceres;2024M02;0,4
Total Nacional;11 Extremadura;10 Cáceres;2023M08;0,37
Total Nacional;11 Extremadura;10 Cáceres;2023M02;0,38
Total Nacional;11 Extremadura;10 Cáceres;2022M08;0,38
Total Nacional;11 Extremadura;10 Cáceres;2022M02;0,34
Total Nacional;11 Extremadura;10 Cáceres;2021M08;0,35
Total Nacional;11 Extremadura;10 Cáceres;2021M02;0,34
Total Nacional;11 Extremadura;10 Cáceres;2020M08;0,36
Total Nacional;12 Galicia;;2024M08;1,25
Total Nacional;12 Galicia;;2024M02;1,02
Total Nacional;12 Galicia;;2023M08;1,03
Total Nacional;12 Galicia;;2023M02;0,92
Total Nacional;12 Galicia;;2022M08;0,99
Total Nacional;12 Galicia;;2022M02;0,79
Total Nacional;12 Galicia;;2021M08;0,84
Total Nacional;12 Galicia;;2021M02;0,71
Total Nacional;12 Galicia;;2020M08;0,78
Total Nacional;12 Galicia;15 Coruña, A;2024M08;1,18
Total Nacional;12 Galicia;15 Coruña, A;2024M02;0,97
Total Nacional;12 Galicia;15 Coruña, A;2023M08;0,97
Total Nacional;12 Galicia;15 Coruña, A;2023M02;0,87
Total Nacional;12 Galicia;15 Coruña, A;2022M08;0,94
Total Nacional;12 Galicia;15 Coruña, A;2022M02;0,77
Total Nacional;12 Galicia;15 Coruña, A;2021M08;0,81
Total Nacional;12 Galicia;15 Coruña, A;2021M02;0,7
Total Nacional;12 Galicia;15 Coruña, A;2020M08;0,77
Total Nacional;12 Galicia;27 Lugo;2024M08;1,11
Total Nacional;12 Galicia;27 Lugo;2024M02;0,9
Total Nacional;12 Galicia;27 Lugo;2023M08;0,95
Total Nacional;12 Galicia;27 Lugo;2023M02;0,92
Total Nacional;12 Galicia;27 Lugo;2022M08;1
Total Nacional;12 Galicia;27 Lugo;2022M02;0,75
Total Nacional;12 Galicia;27 Lugo;2021M08;0,8
Total Nacional;12 Galicia;27 Lugo;2021M02;0,64
Total Nacional;12 Galicia;27 Lugo;2020M08;0,71
Total Nacional;12 Galicia;32 Ourense;2024M08;0,43
Total Nacional;12 Galicia;32 Ourense;2024M02;0,37
Total Nacional;12 Galicia;32 Ourense;2023M08;0,34
Total Nacional;12 Galicia;32 Ourense;2023M02;0,32
Total Nacional;12 Galicia;32 Ourense;2022M08;0,32
Total Nacional;12 Galicia;32 Ourense;2022M02;0,27
Total Nacional;12 Galicia;32 Ourense;2021M08;0,27
Total Nacional;12 Galicia;32 Ourense;2021M02;0,24
Total Nacional;12 Galicia;32 Ourense;2020M08;0,26
Total Nacional;12 Galicia;36 Pontevedra;2024M08;1,83
Total Nacional;12 Galicia;36 Pontevedra;2024M02;1,47
Total Nacional;12 Galicia;36 Pontevedra;2023M08;1,49
Total Nacional;12 Galicia;36 Pontevedra;2023M02;1,29
Total Nacional;12 Galicia;36 Pontevedra;2022M08;1,4
Total Nacional;12 Galicia;36 Pontevedra;2022M02;1,1
Total Nacional;12 Galicia;36 Pontevedra;2021M08;1,19
Total Nacional;12 Galicia;36 Pontevedra;2021M02;0,99
Total Nacional;12 Galicia;36 Pontevedra;2020M08;1,1
Total Nacional;13 Madrid, Comunidad de;;2024M08;0,76
Total Nacional;13 Madrid, Comunidad de;;2024M02;0,66
Total Nacional;13 Madrid, Comunidad de;;2023M08;0,57
Total Nacional;13 Madrid, Comunidad de;;2023M02;0,56
Total Nacional;13 Madrid, Comunidad de;;2022M08;0,54
Total Nacional;13 Madrid, Comunidad de;;2022M02;0,53
Total Nacional;13 Madrid, Comunidad de;;2021M08;0,6
Total Nacional;13 Madrid, Comunidad de;;2021M02;0,61
Total Nacional;13 Madrid, Comunidad de;;2020M08;0,68
Total Nacional;13 Madrid, Comunidad de;28 Madrid;2024M08;0,76
Total Nacional;13 Madrid, Comunidad de;28 Madrid;2024M02;0,66
Total Nacional;13 Madrid, Comunidad de;28 Madrid;2023M08;0,57
Total Nacional;13 Madrid, Comunidad de;28 Madrid;2023M02;0,56
Total Nacional;13 Madrid, Comunidad de;28 Madrid;2022M08;0,54
Total Nacional;13 Madrid, Comunidad de;28 Madrid;2022M02;0,53
Total Nacional;13 Madrid, Comunidad de;28 Madrid;2021M08;0,6
Total Nacional;13 Madrid, Comunidad de;28 Madrid;2021M02;0,61
Total Nacional;13 Madrid, Comunidad de;28 Madrid;2020M08;0,68
Total Nacional;14 Murcia, Región de;;2024M08;1,02
Total Nacional;14 Murcia, Región de;;2024M02;0,87
Total Nacional;14 Murcia, Región de;;2023M08;0,82
Total Nacional;14 Murcia, Región de;;2023M02;0,81
Total Nacional;14 Murcia, Región de;;2022M08;0,79
Total Nacional;14 Murcia, Región de;;2022M02;0,72
Total Nacional;14 Murcia, Región de;;2021M08;0,74
Total Nacional;14 Murcia, Región de;;2021M02;0,74
Total Nacional;14 Murcia, Región de;;2020M08;0,79
Total Nacional;14 Murcia, Región de;30 Murcia;2024M08;1,02
Total Nacional;14 Murcia, Región de;30 Murcia;2024M02;0,87
Total Nacional;14 Murcia, Región de;30 Murcia;2023M08;0,82
Total Nacional;14 Murcia, Región de;30 Murcia;2023M02;0,81
Total Nacional;14 Murcia, Región de;30 Murcia;2022M08;0,79
Total Nacional;14 Murcia, Región de;30 Murcia;2022M02;0,72
Total Nacional;14 Murcia, Región de;30 Murcia;2021M08;0,74
Total Nacional;14 Murcia, Región de;30 Murcia;2021M02;0,74
Total Nacional;14 Murcia, Región de;30 Murcia;2020M08;0,79
Total Nacional;15 Navarra, Comunidad Foral de;;2024M08;0,54
Total Nacional;15 Navarra, Comunidad Foral de;;2024M02;0,48
Total Nacional;15 Navarra, Comunidad Foral de;;2023M08;0,41
Total Nacional;15 Navarra, Comunidad Foral de;;2023M02;0,4
Total Nacional;15 Navarra, Comunidad Foral de;;2022M08;0,4
Total Nacional;15 Navarra, Comunidad Foral de;;2022M02;0,3
Total Nacional;15 Navarra, Comunidad Foral de;;2021M08;0,32
Total Nacional;15 Navarra, Comunidad Foral de;;2021M02;0,32
Total Nacional;15 Navarra, Comunidad Foral de;;2020M08;0,35
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;2024M08;0,54
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;2024M02;0,48
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;2023M08;0,41
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;2023M02;0,4
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;2022M08;0,4
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;2022M02;0,3
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;2021M08;0,32
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;2021M02;0,32
Total Nacional;15 Navarra, Comunidad Foral de;31 Navarra;2020M08;0,35
Total Nacional;16 País Vasco;;2024M08;0,54
Total Nacional;16 País Vasco;;2024M02;0,48
Total Nacional;16 País Vasco;;2023M08;0,48
Total Nacional;16 País Vasco;;2023M02;0,43
Total Nacional;16 País Vasco;;2022M08;0,46
Total Nacional;16 País Vasco;;2022M02;0,39
Total Nacional;16 País Vasco;;2021M08;0,43
Total Nacional;16 País Vasco;;2021M02;0,39
Total Nacional;16 País Vasco;;2020M08;0,45
Total Nacional;16 País Vasco;01 Araba/Álava;2024M08;0,24
Total Nacional;16 País Vasco;01 Araba/Álava;2024M02;0,21
Total Nacional;16 País Vasco;01 Araba/Álava;2023M08;0,19
Total Nacional;16 País Vasco;01 Araba/Álava;2023M02;0,21
Total Nacional;16 País Vasco;01 Araba/Álava;2022M08;0,21
Total Nacional;16 País Vasco;01 Araba/Álava;2022M02;0,18
Total Nacional;16 País Vasco;01 Araba/Álava;2021M08;0,21
Total Nacional;16 País Vasco;01 Araba/Álava;2021M02;0,19
Total Nacional;16 País Vasco;01 Araba/Álava;2020M08;0,21
Total Nacional;16 País Vasco;48 Bizkaia;2024M08;0,53
Total Nacional;16 País Vasco;48 Bizkaia;2024M02;0,47
Total Nacional;16 País Vasco;48 Bizkaia;2023M08;0,46
Total Nacional;16 País Vasco;48 Bizkaia;2023M02;0,39
Total Nacional;16 País Vasco;48 Bizkaia;2022M08;0,39
Total Nacional;16 País Vasco;48 Bizkaia;2022M02;0,34
Total Nacional;16 País Vasco;48 Bizkaia;2021M08;0,36
Total Nacional;16 País Vasco;48 Bizkaia;2021M02;0,34
Total Nacional;16 País Vasco;48 Bizkaia;2020M08;0,38
Total Nacional;16 País Vasco;20 Gipuzkoa;2024M08;0,71
Total Nacional;16 País Vasco;20 Gipuzkoa;2024M02;0,62
Total Nacional;16 País Vasco;20 Gipuzkoa;2023M08;0,64
Total Nacional;16 País Vasco;20 Gipuzkoa;2023M02;0,6
Total Nacional;16 País Vasco;20 Gipuzkoa;2022M08;0,7
Total Nacional;16 País Vasco;20 Gipuzkoa;2022M02;0,58
Total Nacional;16 País Vasco;20 Gipuzkoa;2021M08;0,64
Total Nacional;16 País Vasco;20 Gipuzkoa;2021M02;0,58
Total Nacional;16 País Vasco;20 Gipuzkoa;2020M08;0,68
Total Nacional;17 Rioja, La;;2024M08;0,68
Total Nacional;17 Rioja, La;;2024M02;0,62
Total Nacional;17 Rioja, La;;2023M08;0,6
Total Nacional;17 Rioja, La;;2023M02;0,56
Total Nacional;17 Rioja, La;;2022M08;0,58
Total Nacional;17 Rioja, La;;2022M02;0,53
Total Nacional;17 Rioja, La;;2021M08;0,56
Total Nacional;17 Rioja, La;;2021M02;0,53
Total Nacional;17 Rioja, La;;2020M08;0,57
Total Nacional;17 Rioja, La;26 Rioja, La;2024M08;0,68
Total Nacional;17 Rioja, La;26 Rioja, La;2024M02;0,62
Total Nacional;17 Rioja, La;26 Rioja, La;2023M08;0,6
Total Nacional;17 Rioja, La;26 Rioja, La;2023M02;0,56
Total Nacional;17 Rioja, La;26 Rioja, La;2022M08;0,58
Total Nacional;17 Rioja, La;26 Rioja, La;2022M02;0,53
Total Nacional;17 Rioja, La;26 Rioja, La;2021M08;0,56
Total Nacional;17 Rioja, La;26 Rioja, La;2021M02;0,53
Total Nacional;17 Rioja, La;26 Rioja, La;2020M08;0,57
Total Nacional;18 Ceuta;;2024M08;0,19
Total Nacional;18 Ceuta;;2024M02;0,14
Total Nacional;18 Ceuta;;2023M08;0,17
Total Nacional;18 Ceuta;;2023M02;0,16
Total Nacional;18 Ceuta;;2022M08;0,19
Total Nacional;18 Ceuta;;2022M02;0,18
Total Nacional;18 Ceuta;;2021M08;0,21
Total Nacional;18 Ceuta;;2021M02;0,18
Total Nacional;18 Ceuta;;2020M08;0,25
Total Nacional;18 Ceuta;51 Ceuta;2024M08;0,19
Total Nacional;18 Ceuta;51 Ceuta;2024M02;0,14
Total Nacional;18 Ceuta;51 Ceuta;2023M08;0,17
Total Nacional;18 Ceuta;51 Ceuta;2023M02;0,16
Total Nacional;18 Ceuta;51 Ceuta;2022M08;0,19
Total Nacional;18 Ceuta;51 Ceuta;2022M02;0,18
Total Nacional;18 Ceuta;51 Ceuta;2021M08;0,21
Total Nacional;18 Ceuta;51 Ceuta;2021M02;0,18
Total Nacional;18 Ceuta;51 Ceuta;2020M08;0,25
Total Nacional;19 Melilla;;2024M08;0,19
Total Nacional;19 Melilla;;2024M02;0,13
Total Nacional;19 Melilla;;2023M08;0,18
Total Nacional;19 Melilla;;2023M02;0,21
Total Nacional;19 Melilla;;2022M08;0,16
Total Nacional;19 Melilla;;2022M02;0,17
Total Nacional;19 Melilla;;2021M08;0,18
Total Nacional;19 Melilla;;2021M02;0,16
Total Nacional;19 Melilla;;2020M08;0,16
Total Nacional;19 Melilla;52 Melilla;2024M08;0,19
Total Nacional;19 Melilla;52 Melilla;2024M02;0,13
Total Nacional;19 Melilla;52 Melilla;2023M08;0,18
Total Nacional;19 Melilla;52 Melilla;2023M02;0,21
Total Nacional;19 Melilla;52 Melilla;2022M08;0,16
Total Nacional;19 Melilla;52 Melilla;2022M02;0,17
Total Nacional;19 Melilla;52 Melilla;2021M08;0,18
Total Nacional;19 Melilla;52 Melilla;2021M02;0,16
Total Nacional;19 Melilla;52 Melilla;2020M08;0,16
